Site,Date,device_number,PM25_CinC,PM25_EPA_FRM
0034,2025-01-04,20,2.094822222222222,2.5
0034,2025-01-04,24,2.1526428571428573,2.5
0034,2025-01-04,3,2.292183673469388,2.5
0034,2025-01-07,15,2.180551724137931,1.3
0034,2025-01-07,2,1.6832352941176472,1.3
0034,2025-01-07,20,2.5481739130434784,1.3
0034,2025-01-07,24,2.16978,1.3
0034,2025-01-07,3,2.523061224489796,1.3
0034,2025-01-10,11,5.581666666666667,16.5
0034,2025-01-10,15,12.43996551724138,16.5
0034,2025-01-10,2,11.7435,16.5
0034,2025-01-10,20,13.586689655172414,16.5
0034,2025-01-10,24,11.479462962962964,16.5
0034,2025-01-10,3,11.322367346938776,16.5
0034,2025-01-13,15,7.5705,5.2
0034,2025-01-13,2,7.59125,5.2
0034,2025-01-13,20,7.89651923076923,5.2
0034,2025-01-13,24,7.409960784313726,5.2
0034,2025-01-13,3,7.500510204081633,5.2
0034,2025-01-16,15,18.82616,NA
0034,2025-01-16,2,19.305076923076925,NA
0034,2025-01-16,20,22.008681818181817,NA
0034,2025-01-16,24,20.716744680851065,NA
0034,2025-01-16,3,17.544666666666668,NA
0034,2025-01-19,2,1.9385000000000001,2.2
0034,2025-01-19,20,2.821019230769231,2.2
0034,2025-01-19,24,1.9837222222222224,2.2
0034,2025-01-19,3,2.9482857142857144,2.2
0034,2025-01-22,15,4.113310344827586,8.4
0034,2025-01-22,2,3.741522727272727,8.4
0034,2025-01-22,20,4.6262,8.4
0034,2025-01-22,24,3.042061224489796,8.4
0034,2025-01-22,3,3.2022291666666667,8.4
0034,2025-01-25,15,11.624391304347826,14.5
0034,2025-01-25,2,11.490170212765957,14.5
0034,2025-01-25,20,13.8243125,14.5
0034,2025-01-25,24,11.096571428571428,14.5
0034,2025-01-25,3,14.173166666666667,14.5
0034,2025-01-28,15,4.843909090909091,5.2
0034,2025-01-28,2,3.6847222222222222,5.2
0034,2025-01-28,20,5.3254716981132075,5.2
0034,2025-01-28,24,4.039673469387755,5.2
0034,2025-01-28,3,3.9273191489361703,5.2
0034,2025-01-31,15,4.189285714285714,7
