Date,EPA_Site,PM_EPA,PM_CinC
2024-11-02,0034,3.5125,3.7922432432432434
2024-11-02,0034,3.5125,2.580346153846154
2024-11-02,0034,3.5125,2.4594444444444443
2024-11-02,0034,3.5125,2.42325
2024-11-05,0034,5.091304347826087,4.258571428571429
2024-11-05,0034,5.091304347826087,4.535777777777778
2024-11-05,0034,5.091304347826087,3.8111923076923078
2024-11-05,0034,5.091304347826087,3.9189787234042552
2024-11-08,0034,6.558333333333334,12.046735294117648
2024-11-08,0034,6.558333333333334,9.51761111111111
2024-11-08,0034,6.558333333333334,9.631240740740742
2024-11-08,0034,6.558333333333334,6.0004
2024-11-08,0034,6.558333333333334,8.785869565217391
2024-11-11,0034,2.8125,5.299421052631579
2024-11-11,0034,2.8125,5.89832
2024-11-11,0034,2.8125,5.23162
2024-11-11,0034,2.8125,5.18344
2024-11-11,0034,2.8125,4.974666666666667
2024-11-14,0034,2.904166666666667,3.5180833333333332
2024-11-14,0034,2.904166666666667,3.7834347826086954
2024-11-14,0034,2.904166666666667,3.632867924528302
2024-11-14,0034,2.904166666666667,3.0133269230769235
2024-11-14,0034,2.904166666666667,2.715333333333333
2024-11-17,0034,7.0625,12.592032258064517
2024-11-17,0034,7.0625,12.582136363636362
2024-11-17,0034,7.0625,10.036672727272727
2024-11-17,0034,7.0625,8.677510204081633
2024-11-17,0034,7.0625,7.812102040816327
2024-11-20,0034,3.7166666666666663,7.42765625
2024-11-20,0034,3.7166666666666663,9.876714285714286
2024-11-20,0034,3.7166666666666663,3.443857142857143
2024-11-20,0034,3.7166666666666663,6.3689245283018865
2024-11-20,0034,3.7166666666666663,6.3343454545454545
2024-11-20,0034,3.7166666666666663,6.765586956521739
2024-11-23,0034,1.5791666666666666,1.94378125
2024-11-23,0034,1.5791666666666666,1.7889285714285714
2024-11-23,0034,1.5791666666666666,1.9468
2024-11-23,0034,1.5791666666666666,2.09
2024-11-23,0034,1.5791666666666666,2.5739107142857143
2024-11-23,0034,1.5791666666666666,1.6813829787234043
2024-11-26,0034,5.245833333333334,9.371586206896552
2024-11-26,0034,5.245833333333334,8.739413793103449
2024-11-26,0034,5.245833333333334,12.315800000000001
2024-11-26,0034,5.245833333333334,11.491000000000001
2024-11-26,0034,5.245833333333334,10.695276595744682
2024-11-26,0034,5.245833333333334,9.503187500000001
2024-11-28,0034,5.1375,11.109571428571428
2024-11-28,0034,5.1375,10.267827586206897
2024-11-28,0034,5.1375,13.00013888888889
2024-11-28,0034,5.1375,9.6940943396226409
2024-11-28,0034,5.1375,8.363058823529412
2024-11-28,0034,5.1375,7.284130434782609
2024-11-29,0034,6.529166666666667,9.541375
2024-11-29,0034,6.529166666666667,9.122153846153847
2024-11-29,0034,6.529166666666667,8.111736842105262
2024-11-29,0034,6.529166666666667,8.720040000000001
2024-11-29,0034,6.529166666666667,7.932549019607843
2024-11-29,0034,6.529166666666667,8.630448979591836
2024-12-02,0034,7.175,12.727896551724138
2024-12-02,0034,7.175,11.686838709677419
2024-12-02,0034,7.175,10.973837837837838
2024-12-02,0034,7.175,14.263745098039216
2024-12-02,0034,7.175,11.087490566037737
2024-12-02,0034,7.175,10.509872340425531
2024-12-04,0034,10.325,13.097257142857142
2024-12-04,0034,10.325,14.366035714285713
2024-12-04,0034,10.325,13.22035
2024-12-04,0034,10.325,13.021861111111111
2024-12-04,0034,10.325,12.230490196078431
2024-12-04,0034,10.325,12.272326530612245
2024-12-05,0034,2.2625,7.351074074074074
2024-12-05,0034,2.2625,8.46740909090909
2024-12-05,0034,2.2625,5.468277777777778
2024-12-05,0034,2.2625,7.642244897959183
2024-12-05,0034,2.2625,5.960527272727273
2024-12-05,0034,2.2625,5.539061224489796
2024-12-06,0034,3.2708333333333335,3.1059393939393938
2024-12-06,0034,3.2708333333333335,2.7162727272727274
2024-12-06,0034,3.2708333333333335,2.4298536585365853
2024-12-06,0034,3.2708333333333335,3.3365416666666667
2024-12-06,0034,3.2708333333333335,2.959622641509434
2024-12-06,0034,3.2708333333333335,2.8540212765957444
2024-12-07,0034,6.795833333333333,5.174027777777778
2024-12-07,0034,6.795833333333333,5.398567567567567
2024-12-07,0034,6.795833333333333,4.705
2024-12-07,0034,6.795833333333333,4.4554
2024-12-07,0034,6.795833333333333,3.836962962962963
2024-12-07,0034,6.795833333333333,4.940148936170213
2024-12-08,0034,7.541666666666667,6.955028571428572
2024-12-08,0034,7.541666666666667,6.64658064516129
2024-12-08,0034,7.541666666666667,6.222054054054054
2024-12-08,0034,7.541666666666667,7.0549591836734695
2024-12-08,0034,7.541666666666667,6.091433962264151
2024-12-08,0034,7.541666666666667,6.720355555555556
2024-12-11,0034,8.070833333333333,19.65241176470588
2024-12-11,0034,8.070833333333333,25.921615384615386
2024-12-11,0034,8.070833333333333,32.26921052631579
2024-12-11,0034,8.070833333333333,29.393291666666666
2024-12-11,0034,8.070833333333333,31.14598039215686
2024-12-11,0034,8.070833333333333,24.575125
2024-12-14,0034,8.5625,7.005457142857143
2024-12-14,0034,8.5625,7.295136363636364
2024-12-14,0034,8.5625,7.678111111111111
2024-12-14,0034,8.5625,8.9131
2024-12-14,0034,8.5625,7.226537037037037
2024-12-14,0034,8.5625,7.0914081632653065
2024-12-17,0034,9.3125,11.645096774193549
2024-12-17,0034,9.3125,11.17015625
2024-12-17,0034,9.3125,12.888826086956522
2024-12-17,0034,9.3125,13.3556
2024-12-17,0034,9.3125,10.703304347826085
2024-12-20,0034,7.879166666666666,16.779125
2024-12-20,0034,7.879166666666666,15.741117647058823
2024-12-20,0034,7.879166666666666,15.153867924528301
2024-12-20,0034,7.879166666666666,15.31556603773585
2024-12-20,0034,7.879166666666666,13.41569387755102
2024-12-23,0034,6.0875,5.625838709677419
2024-12-23,0034,6.0875,6.115033333333334
2024-12-23,0034,6.0875,5.516487804878049
2024-12-23,0034,6.0875,4.726195652173913
2024-12-23,0034,6.0875,5.616163265306122
2024-12-23,0034,6.0875,5.381265306122449
2024-12-26,0034,8.229166666666666,12.353285714285715
2024-12-26,0034,8.229166666666666,14.08290909090909
2024-12-26,0034,8.229166666666666,12.7431875
2024-12-26,0034,8.229166666666666,13.896519230769231
2024-12-26,0034,8.229166666666666,12.142226415094338
2024-12-26,0034,8.229166666666666,13.124458333333333
2024-12-28,0034,4.7625,5.981222222222223
2024-12-28,0034,4.7625,6.390535714285714
2024-12-28,0034,4.7625,5.038675675675676
2024-12-28,0034,4.7625,5.4500625
2024-12-28,0034,4.7625,5.047326530612245
2024-12-28,0034,4.7625,4.8021666666666665
2024-12-29,0034,3.425,10.246666666666666
2024-12-29,0034,3.425,11.402181818181818
2024-12-29,0034,3.425,13.792694444444445
2024-12-29,0034,3.425,7.542448979591837
2024-12-29,0034,3.425,10.143652173913043
2024-12-29,0034,3.425,6.0028163265306125
2025-01-01,0034,3.283333333333333,8.122642857142857
2025-01-01,0034,3.283333333333333,9.321540540540541
2025-01-01,0034,3.283333333333333,8.72521739130435
2025-01-01,0034,3.283333333333333,7.078888888888889
2025-01-01,0034,3.283333333333333,5.673957446808511
2025-01-04,0034,2.595833333333333,1.9446
2025-01-04,0034,2.595833333333333,2.037195652173913
2025-01-04,0034,2.595833333333333,2.094822222222222
2025-01-04,0034,2.595833333333333,2.1526428571428573
2025-01-04,0034,2.595833333333333,2.292183673469388
2025-01-05,0034,7.145833333333333,8.133970588235295
2025-01-05,0034,7.145833333333333,8.046121951219511
2025-01-05,0034,7.145833333333333,7.31835294117647
2025-01-05,0034,7.145833333333333,7.310254545454545
2025-01-05,0034,7.145833333333333,7.533714285714286
2025-01-07,0034,1.9791666666666667,2.180551724137931
2025-01-07,0034,1.9791666666666667,1.6832352941176472
2025-01-07,0034,1.9791666666666667,2.5481739130434784
2025-01-07,0034,1.9791666666666667,2.16978
2025-01-07,0034,1.9791666666666667,2.523061224489796
2025-01-10,0034,14.745833333333334,5.581666666666667
2025-01-10,0034,14.745833333333334,12.43996551724138
2025-01-10,0034,14.745833333333334,11.7435
2025-01-10,0034,14.745833333333334,13.586689655172414
2025-01-10,0034,14.745833333333334,11.479462962962964
2025-01-10,0034,14.745833333333334,11.322367346938776
2025-01-13,0034,5.1875,7.5705
2025-01-13,0034,5.1875,7.59125
2025-01-13,0034,5.1875,7.89651923076923
2025-01-13,0034,5.1875,7.409960784313726
2025-01-13,0034,5.1875,7.500510204081633
2025-01-16,0034,15.112499999999999,18.82616
2025-01-16,0034,15.112499999999999,19.305076923076925
2025-01-16,0034,15.112499999999999,22.008681818181817
2025-01-16,0034,15.112499999999999,20.716744680851065
2025-01-16,0034,15.112499999999999,17.544666666666668
2025-01-19,0034,2.25,1.9385000000000001
2025-01-19,0034,2.25,2.821019230769231
2025-01-19,0034,2.25,1.9837222222222224
2025-01-19,0034,2.25,2.9482857142857144
2025-01-22,0034,7.175,4.113310344827586
2025-01-22,0034,7.175,3.741522727272727
2025-01-22,0034,7.175,4.6262
2025-01-22,0034,7.175,3.042061224489796
2025-01-22,0034,7.175,3.2022291666666667
2025-01-23,0034,7.745833333333334,8.63623076923077
2025-01-23,0034,7.745833333333334,7.970190476190476
2025-01-23,0034,7.745833333333334,8.877
2025-01-23,0034,7.745833333333334,9.197918367346938
2025-01-23,0034,7.745833333333334,9.20554347826087
2025-01-25,0034,11.0375,11.624391304347826
2025-01-25,0034,11.0375,11.490170212765957
2025-01-25,0034,11.0375,13.8243125
2025-01-25,0034,11.0375,11.096571428571428
2025-01-25,0034,11.0375,14.173166666666667
2025-01-28,0034,4.445833333333334,4.843909090909091
2025-01-28,0034,4.445833333333334,3.6847222222222222
2025-01-28,0034,4.445833333333334,5.3254716981132075
2025-01-28,0034,4.445833333333334,4.039673469387755
2025-01-28,0034,4.445833333333334,3.9273191489361703
2025-01-31,0034,5.654166666666667,4.189285714285714
2025-01-31,0034,5.654166666666667,10.514714285714286
2025-01-31,0034,5.654166666666667,7.006238095238095
2025-01-31,0034,5.654166666666667,7.162023809523809
2025-01-31,0034,5.654166666666667,6.285886363636364
2025-02-03,0034,11.220833333333333,33.70593103448276
2025-02-03,0034,11.220833333333333,30.24614
2025-02-03,0034,11.220833333333333,12.65895238095238
2025-02-03,0034,11.220833333333333,17.15096
2025-02-06,0034,7.641666666666667,15.634882352941178
2025-02-06,0034,7.641666666666667,12.779311111111113
2025-02-06,0034,7.641666666666667,14.3575
2025-02-06,0034,7.641666666666667,13.525302325581395
2025-02-09,0034,6.895833333333333,11.384142857142857
2025-02-09,0034,6.895833333333333,16.251405405405404
2025-02-09,0034,6.895833333333333,17.001666666666665
2025-02-09,0034,6.895833333333333,12.240225806451612
2025-02-09,0034,6.895833333333333,14.169979591836734
2025-02-12,0034,13.441666666666666,23.15672222222222
2025-02-12,0034,13.441666666666666,24.001823529411766
2025-02-12,0034,13.441666666666666,23.128509433962265
2025-02-12,0034,13.441666666666666,22.94681818181818
2025-02-12,0034,13.441666666666666,21.887673469387757
2025-02-15,0034,7.820833333333333,9.877470588235294
2025-02-15,0034,7.820833333333333,11.943738095238094
2025-02-15,0034,7.820833333333333,10.978923076923078
2025-02-15,0034,7.820833333333333,11.583257142857143
2025-02-15,0034,7.820833333333333,10.33834693877551
2025-02-18,0034,3.0791666666666666,2.8171923076923076
2025-02-18,0034,3.0791666666666666,2.960816326530612
2025-02-18,0034,3.0791666666666666,3.893148148148148
2025-02-18,0034,3.0791666666666666,3.133938775510204
2025-02-18,0034,3.0791666666666666,2.9829795918367346
2025-02-21,0034,4.370833333333334,3.1071851851851853
2025-02-21,0034,4.370833333333334,2.930125
2025-02-21,0034,4.370833333333334,3.9215094339622643
2025-02-21,0034,4.370833333333334,2.6153846153846154
2025-02-21,0034,4.370833333333334,2.826734693877551
2025-02-24,0034,10.056521739130435,8.129888888888889
2025-02-24,0034,10.056521739130435,11.258970588235293
2025-02-24,0034,10.056521739130435,11.414411764705882
2025-02-24,0034,10.056521739130435,10.664529411764706
2025-02-24,0034,10.056521739130435,12.3615
2025-02-27,0034,11.25,24.233999999999998
2025-02-27,0034,11.25,47.318636363636365
2025-02-27,0034,11.25,26.81470588235294
2025-02-27,0034,11.25,36.9614
2025-02-27,0034,11.25,30.135268292682927
2025-03-02,0034,3.3833333333333333,2.417866666666667
2025-03-02,0034,3.3833333333333333,2.9751935483870966
2025-03-02,0034,3.3833333333333333,2.676228571428571
2025-03-02,0034,3.3833333333333333,3.2264166666666667
2025-03-02,0034,3.3833333333333333,2.5968085106382977
2025-03-02,0034,3.3833333333333333,3.1185510204081632
2025-03-03,0034,7.608333333333333,7.067
2025-03-03,0034,7.608333333333333,7.753409090909091
2025-03-03,0034,7.608333333333333,7.005333333333334
2025-03-03,0034,7.608333333333333,6.5569
2025-03-03,0034,7.608333333333333,6.4251000000000005
2025-03-03,0034,7.608333333333333,6.773795918367347
2025-03-05,0034,4.329166666666667,4.861363636363636
2025-03-05,0034,4.329166666666667,4.117181818181818
2025-03-05,0034,4.329166666666667,3.82765
2025-03-05,0034,4.329166666666667,4.667411764705882
2025-03-05,0034,4.329166666666667,4.081708333333333
2025-03-05,0034,4.329166666666667,4.182895833333333
2025-03-08,0034,3.575,1.4652222222222222
2025-03-08,0034,3.575,12.79179411764706
2025-03-08,0034,3.575,10.43718
2025-03-08,0034,3.575,7.980250000000001
2025-03-08,0034,3.575,9.609086956521738
2025-03-11,0034,5.7375,6.097714285714286
2025-03-11,0034,5.7375,5.250147058823529
2025-03-11,0034,5.7375,4.9095625
2025-03-11,0034,5.7375,4.717071428571429
2025-03-11,0034,5.7375,4.295285714285714
2025-03-14,0034,11.495833333333334,12.0394
2025-03-14,0034,11.495833333333334,8.874526315789474
2025-03-14,0034,11.495833333333334,9.71270588235294
2025-03-14,0034,11.495833333333334,7.648755102040816
2025-03-17,0034,3.2041666666666666,2.737
2025-03-17,0034,3.2041666666666666,4.211
2025-03-17,0034,3.2041666666666666,2.4621
2025-03-17,0034,3.2041666666666666,2.4728771929824562
2025-03-17,0034,3.2041666666666666,3.0280612244897958
2025-03-20,0034,4.745833333333334,4.492214285714286
2025-03-20,0034,4.745833333333334,2.70005
2025-03-20,0034,4.745833333333334,3.6082424242424245
2025-03-20,0034,4.745833333333334,3.36725
2025-03-20,0034,4.745833333333334,3.0496250000000003
2025-03-23,0034,4.2125,3.9986774193548387
2025-03-23,0034,4.2125,4.784708333333334
2025-03-23,0034,4.2125,3.9062432432432432
2025-03-23,0034,4.2125,4.62159649122807
2025-03-23,0034,4.2125,4.143666666666666
2025-03-26,0034,3.7666666666666666,3.7244848484848485
2025-03-26,0034,3.7666666666666666,3.8584583333333335
2025-03-26,0034,3.7666666666666666,3.2151666666666667
2025-03-26,0034,3.7666666666666666,3.1815192307692306
2025-03-26,0034,3.7666666666666666,3.3948541666666667
2025-03-29,0034,13.291666666666666,10.479763157894737
2025-03-29,0034,13.291666666666666,8.371
2025-03-29,0034,13.291666666666666,9.0884
2025-03-29,0034,13.291666666666666,9.182857142857143
2025-03-29,0034,13.291666666666666,9.58882
2025-04-01,0034,3.1416666666666666,3.97788
2025-04-01,0034,3.1416666666666666,2.778875
2025-04-01,0034,3.1416666666666666,3.1638965517241378
2025-04-01,0034,3.1416666666666666,2.94259649122807
2025-04-01,0034,3.1416666666666666,2.946510204081633
2025-04-04,0034,2.9875,3.21896
2025-04-04,0034,2.9875,3.3966153846153846
2025-04-04,0034,2.9875,2.0785151515151514
2025-04-04,0034,2.9875,2.6981964285714284
2025-04-04,0034,2.9875,2.486375
2025-04-05,0034,3.7,2.6618333333333335
2025-04-05,0034,3.7,3.6606
2025-04-05,0034,3.7,7.304870967741936
2025-04-05,0034,3.7,4.855376811594203
2025-04-05,0034,3.7,4.473621621621621
2025-04-07,0034,4.533333333333333,6.776590909090909
2025-04-07,0034,4.533333333333333,8.30952380952381
2025-04-07,0034,4.533333333333333,7.364947368421053
2025-04-07,0034,4.533333333333333,6.230894736842106
2025-04-07,0034,4.533333333333333,5.836978723404256
2025-04-10,0034,6.683333333333334,10.767764705882353
2025-04-10,0034,6.683333333333334,12.933349999999999
2025-04-10,0034,6.683333333333334,20.170666666666666
