epa_site,cleancle_device,latitude.x,longitude.x,location_name,device_eui,latitude.y,longitude.y,distance_km
0060,29,41.492117,-81.678449,Gunning Recreation Center,0004A30B00082B18,41.43498,-81.81362,12.946182810193875
0065,29,41.446624,-81.662356,Gunning Recreation Center,0004A30B00082B18,41.43498,-81.81362,12.689285901521318
0034,24,41.55523,-81.575256,East 152nd and Darwin,0004A30B000824D7,41.564906,-81.579597,1.136199467704632
0038,24,41.477011,-81.682383,East 152nd and Darwin,0004A30B000824D7,41.564906,-81.579597,13.004834340746834
0045,24,41.471782,-81.656792,East 152nd and Darwin,0004A30B000824D7,41.564906,-81.579597,12.200956862434856
0060,24,41.492117,-81.678449,East 152nd and Darwin,0004A30B000824D7,41.564906,-81.579597,11.555104803327085
0065,24,41.446624,-81.662356,East 152nd and Darwin,0004A30B000824D7,41.564906,-81.579597,14.865138738144724
0034,2,41.55523,-81.575256,Collinwood Recreation Center,0004A30B00084BC5,41.57947,-81.56615,2.802937938043384
0038,2,41.477011,-81.682383,Collinwood Recreation Center,0004A30B00084BC5,41.57947,-81.56615,14.963889711204123
0045,2,41.471782,-81.656792,Collinwood Recreation Center,0004A30B00084BC5,41.57947,-81.56615,14.169391173579708
0060,2,41.492117,-81.678449,Collinwood Recreation Center,0004A30B00084BC5,41.57947,-81.56615,13.495258088239487
0065,2,41.446624,-81.662356,Collinwood Recreation Center,0004A30B00084BC5,41.57947,-81.56615,16.822781497932734
0034,11,41.55523,-81.575256,East 166th St. and St. Clair Ave.,0004A30B00086587,41.56206,-81.564009,1.2065503151831434
0038,11,41.477011,-81.682383,East 166th St. and St. Clair Ave.,0004A30B00086587,41.56206,-81.564009,13.674015765025246
0045,11,41.471782,-81.656792,East 166th St. and St. Clair Ave.,0004A30B00086587,41.56206,-81.564009,12.680897581258272
0060,11,41.492117,-81.678449,East 166th St. and St. Clair Ave.,0004A30B00086587,41.56206,-81.564009,12.311835865354917
0065,11,41.446624,-81.662356,East 166th St. and St. Clair Ave.,0004A30B00086587,41.56206,-81.564009,15.243118258610039
0034,25,41.55523,-81.575256,Bessemer by Tremco,0004A30B00085131,41.46717,-81.63003,10.81398324735835
0038,25,41.477011,-81.682383,Bessemer by Tremco,0004A30B00085131,41.46717,-81.63003,4.502045062626242
0045,25,41.471782,-81.656792,Bessemer by Tremco,0004A30B00085131,41.46717,-81.63003,2.2905679090257163
0060,25,41.492117,-81.678449,Bessemer by Tremco,0004A30B00085131,41.46717,-81.63003,4.900883277077597
0065,25,41.446624,-81.662356,Bessemer by Tremco,0004A30B00085131,41.46717,-81.63003,3.5361742065323973
0034,15,41.55523,-81.575256,Coit Road and East 131st Street,0004A30B00085FFB,41.552492,-81.591944,1.4231973747636932
0038,15,41.477011,-81.682383,Coit Road and East 131st Street,0004A30B00085FFB,41.552492,-81.591944,11.28852777710572
0045,15,41.471782,-81.656792,Coit Road and East 131st Street,0004A30B00085FFB,41.552492,-81.591944,10.485383914936302
0060,15,41.492117,-81.678449,Coit Road and East 131st Street,0004A30B00085FFB,41.552492,-81.591944,9.8565134527214
0065,15,41.446624,-81.662356,Coit Road and East 131st Street,0004A30B00085FFB,41.552492,-81.591944,13.166370551392005
0034,8,41.55523,-81.575256,East 56th Street and Ferro Avenue,0004A30B000838E4,41.446336,-81.650709,13.657096310783526
0038,8,41.477011,-81.682383,East 56th Street and Ferro Avenue,0004A30B000838E4,41.446336,-81.650709,4.3176681781426005
0045,8,41.471782,-81.656792,East 56th Street and Ferro Avenue,0004A30B000838E4,41.446336,-81.650709,2.8777355693155915
0060,8,41.492117,-81.678449,East 56th Street and Ferro Avenue,0004A30B000838E4,41.446336,-81.650709,5.597005806105588
0065,8,41.446624,-81.662356,East 56th Street and Ferro Avenue,0004A30B000838E4,41.446336,-81.650709,0.9723803699624697
0034,20,41.55523,-81.575256,Nottingham Road near Railroad Tracks,0004A30B00082428,41.569957,-81.541194,3.2767168265995528
0038,20,41.477011,-81.682383,Nottingham Road near Railroad Tracks,0004A30B00082428,41.569957,-81.541194,15.669062438678697
0045,20,41.471782,-81.656792,Nottingham Road near Railroad Tracks,0004A30B00082428,41.569957,-81.541194,14.569337726027294
0060,20,41.492117,-81.678449,Nottingham Road near Railroad Tracks,0004A30B00082428,41.569957,-81.541194,14.349570361536458
0065,20,41.446624,-81.662356,Nottingham Road near Railroad Tracks,0004A30B00082428,41.569957,-81.541194,17.044449515678288
0034,27,41.55523,-81.575256,East 30th and Perkins,0004A30B00080E82,41.50541,-81.66791,9.506588830200684
0038,27,41.477011,-81.682383,East 30th and Perkins,0004A30B00080E82,41.50541,-81.66791,3.3838796161611855
