location_name,latitude,longitude,device_number,device_eui,time,measure_name,value
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T06:32:48Z,mc_pm2_5,1.851
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T06:23:57Z,mc_pm2_5,1.409
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T06:02:48Z,mc_pm2_5,2.305
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T05:53:58Z,mc_pm2_5,5.257
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T05:23:58Z,mc_pm2_5,1.03
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T05:02:48Z,mc_pm2_5,1.51
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T04:32:48Z,mc_pm2_5,1.618
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T04:23:58Z,mc_pm2_5,2.4
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T04:05:54Z,mc_pm2_5,1.837
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T04:02:56Z,mc_pm2_5,4.571
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T03:53:58Z,mc_pm2_5,1.837
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T03:38:37Z,mc_pm2_5,0.85
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T03:32:57Z,mc_pm2_5,0.85
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-23T03:28:51Z,mc_pm2_5,0.766
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T03:23:58Z,mc_pm2_5,1.252
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T02:23:58Z,mc_pm2_5,4.157
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T01:53:58Z,mc_pm2_5,1.505
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T01:23:58Z,mc_pm2_5,1.596
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-23T00:53:58Z,mc_pm2_5,3.253
