"device_number","time","value"
24,2025-01-14 18:43:22.908,5.829
18,2025-01-14 18:42:18.057,7.038
28,2025-01-14 18:41:55.743,10.768
28,2025-01-14 18:41:30.283,4.285
3,2025-01-14 18:40:14.422,6.709
9,2025-01-14 18:39:55.263,2.867
2,2025-01-14 18:36:44.583,10.491
1,2025-01-14 18:36:05.512,3.311
28,2025-01-14 18:34:30.561,4.285
21,2025-01-14 18:33:43.318,5.22
30,2025-01-14 18:33:38.619,6.399
25,2025-01-14 18:28:29.856,14.498
27,2025-01-14 18:24:11.901,9.181
27,2025-01-14 18:22:34.836,8.41
13,2025-01-14 18:21:37.861,10.17
20,2025-01-14 18:20:02.214,10.979
7,2025-01-14 18:16:48.663,3.894
30,2025-01-14 18:14:21.238,4.733
24,2025-01-14 18:13:23.348,11.139
18,2025-01-14 18:12:18.032,8.126
3,2025-01-14 18:10:14.425,5.518
9,2025-01-14 18:09:55.271,3.349
23,2025-01-14 18:09:00.807,6.184
2,2025-01-14 18:06:44.559,5.059
1,2025-01-14 18:06:05.555,5.904
28,2025-01-14 18:04:30.542,7.954
25,2025-01-14 17:58:29.766,3.369
27,2025-01-14 17:54:25.914,8.41
13,2025-01-14 17:51:37.783,10.293
15,2025-01-14 17:50:58.887,4.398
20,2025-01-14 17:50:02.188,5.584
24,2025-01-14 17:43:23.33,8.387
18,2025-01-14 17:42:17.995,6.201
3,2025-01-14 17:40:14.576,9.468
9,2025-01-14 17:39:55.227,6.61
28,2025-01-14 17:34:30.47,4.953
21,2025-01-14 17:33:43.353,9.623
27,2025-01-14 17:24:25.874,8.206
13,2025-01-14 17:21:37.7,6.672
20,2025-01-14 17:20:02.212,11.186
7,2025-01-14 17:16:48.654,7.542
15,2025-01-14 17:16:03.18,3.964
24,2025-01-14 17:13:23.355,10.418
18,2025-01-14 17:12:17.972,6.971
3,2025-01-14 17:10:14.355,3.087
9,2025-01-14 17:09:55.22,4.051
23,2025-01-14 17:09:00.72,3.111
24,2025-01-14 17:07:20.443,5.112
2,2025-01-14 17:06:44.569,4.182
28,2025-01-14 17:04:30.393,10.03
21,2025-01-14 17:03:43.149,5.888
30,2025-01-14 17:03:06.404,5.25
25,2025-01-14 16:58:29.783,6.141
27,2025-01-14 16:54:11.856,5.36
30,2025-01-14 16:52:35.288,4.65
13,2025-01-14 16:51:37.626,6.75
20,2025-01-14 16:50:02.183,8.286
7,2025-01-14 16:46:48.591,4.944
24,2025-01-14 16:43:23.395,5.112
18,2025-01-14 16:42:17.923,10.976
3,2025-01-14 16:40:14.324,9.76
9,2025-01-14 16:39:55.219,2.632
23,2025-01-14 16:39:00.685,11.874
21,2025-01-14 16:36:03.266,5.207
19,2025-01-14 16:35:52.259,3.508
28,2025-01-14 16:34:30.363,9.65
21,2025-01-14 16:33:43.177,5.207
8,2025-01-14 16:33:36.726,4.564
23,2025-01-14 16:29:56.282,4.799
25,2025-01-14 16:28:29.781,12.548
19,2025-01-14 16:26:00.913,3.747
27,2025-01-14 16:24:25.875,7.202
13,2025-01-14 16:21:37.525,5.041
20,2025-01-14 16:20:54.741,2.862
7,2025-01-14 16:16:48.564,2.787
24,2025-01-14 16:13:23.383,5.429
18,2025-01-14 16:12:17.885,3.312
13,2025-01-14 16:10:54.894,7.661
3,2025-01-14 16:10:14.31,3.987
9,2025-01-14 16:09:55.262,2.727
23,2025-01-14 16:09:00.672,4.799
2,2025-01-14 16:06:44.702,6.035
28,2025-01-14 16:04:30.323,5.685
21,2025-01-14 16:03:43.119,2.594
30,2025-01-14 16:00:52.143,5.245
25,2025-01-14 15:58:29.752,5.365
27,2025-01-14 15:54:11.766,4.975
13,2025-01-14 15:51:37.472,7.661
30,2025-01-14 15:50:22.2,5.445
20,2025-01-14 15:50:02.182,3.025
7,2025-01-14 15:46:48.53,4.925
24,2025-01-14 15:43:23.373,4.844
18,2025-01-14 15:42:17.843,2.889
3,2025-01-14 15:40:14.271,5.265
9,2025-01-14 15:39:55.14,2.704
23,2025-01-14 15:39:00.6,2.489
28,2025-01-14 15:34:30.24,4.227
21,2025-01-14 15:33:43.094,5.752
8,2025-01-14 15:33:36.586,5.975
25,2025-01-14 15:28:29.695,3.472
27,2025-01-14 15:24:11.808,3.351
13,2025-01-14 15:21:37.41,2.448
20,2025-01-14 15:20:02.212,5.084
7,2025-01-14 15:16:48.581,2.935
24,2025-01-14 15:13:23.395,3.713
18,2025-01-14 15:12:17.826,6.822
27,2025-01-14 15:10:51.377,8.459
3,2025-01-14 15:10:14.272,8.091
9,2025-01-14 15:09:55.179,2.074
23,2025-01-14 15:09:00.557,3.5
2,2025-01-14 15:06:44.649,9.91
19,2025-01-14 15:05:52.144,3.356
28,2025-01-14 15:04:30.176,5.079
21,2025-01-14 15:03:43.009,3.496
8,2025-01-14 15:03:36.573,4.221
25,2025-01-14 14:58:29.692,5.604
27,2025-01-14 14:54:11.744,8.459
13,2025-01-14 14:51:37.295,7.471
20,2025-01-14 14:50:02.179,3.322
7,2025-01-14 14:46:48.566,3.257
15,2025-01-14 14:46:04.784,2.796
24,2025-01-14 14:43:23.399,7.207
18,2025-01-14 14:42:17.779,7.142
3,2025-01-14 14:40:14.229,3.835
9,2025-01-14 14:39:55.137,1.586
30,2025-01-14 14:39:35.886,5.161
23,2025-01-14 14:39:00.501,4.732
15,2025-01-14 14:37:26.428,7.734
2,2025-01-14 14:36:51.638,8.474
1,2025-01-14 14:36:05.307,4.659
28,2025-01-14 14:34:30.083,4.001
12,2025-01-14 14:34:07.933,4.326
21,2025-01-14 14:33:42.987,4.72
25,2025-01-14 14:28:29.666,4.803
27,2025-01-14 14:24:11.774,10.357
13,2025-01-14 14:21:37.192,3.735
20,2025-01-14 14:20:02.182,9.56
15,2025-01-14 14:16:04.705,7.734
24,2025-01-14 14:13:23.363,2.851
18,2025-01-14 14:12:17.77,6.815
3,2025-01-14 14:10:14.26,4.893
9,2025-01-14 14:09:55.113,2.401
23,2025-01-14 14:09:00.912,3.955
2,2025-01-14 14:06:44.529,4.413
28,2025-01-14 14:04:30.449,6.208
12,2025-01-14 14:04:07.9,4.052
8,2025-01-14 14:03:36.607,3.499
25,2025-01-14 13:58:29.661,4.955
24,2025-01-14 13:58:19.775,8.15
27,2025-01-14 13:54:25.869,3.508
13,2025-01-14 13:51:37.084,3.661
20,2025-01-14 13:50:02.143,6.601
7,2025-01-14 13:46:48.434,7.367
24,2025-01-14 13:43:23.348,8.15
18,2025-01-14 13:42:18.154,5.216
3,2025-01-14 13:40:14.182,4.933
9,2025-01-14 13:39:55.076,2.621
23,2025-01-14 13:39:00.987,3.94
2,2025-01-14 13:36:44.553,10.561
19,2025-01-14 13:35:52.414,2.919
28,2025-01-14 13:34:37.401,5.971
12,2025-01-14 13:34:07.903,2.839
21,2025-01-14 13:33:43.775,4.747
30,2025-01-14 13:29:23.249,3.123
25,2025-01-14 13:28:30.079,5.038
27,2025-01-14 13:24:12.08,8.382
13,2025-01-14 13:21:37.423,5.256
20,2025-01-14 13:20:02.749,4.282
15,2025-01-14 13:16:05.198,5.27
24,2025-01-14 13:13:23.777,5.368
25,2025-01-14 13:12:25.37,4.611
18,2025-01-14 13:12:18.093,5.436
3,2025-01-14 13:10:14.127,6.779
9,2025-01-14 13:09:55.484,4.888
23,2025-01-14 13:09:00.917,1.369
2,2025-01-14 13:06:44.609,3.587
28,2025-01-14 13:04:37.356,6.025
12,2025-01-14 13:04:08.349,6.142
21,2025-01-14 13:03:42.808,4.747
8,2025-01-14 13:03:36.986,4.039
23,2025-01-14 13:00:25.54,3.953
30,2025-01-14 12:59:05.953,4.686
25,2025-01-14 12:58:30.009,4.611
27,2025-01-14 12:54:12.05,2.774
13,2025-01-14 12:51:37.56,5.546
13,2025-01-14 12:51:03.662,7.653
20,2025-01-14 12:50:02.575,5.925
7,2025-01-14 12:46:48.841,3.324
15,2025-01-14 12:46:05.181,6.013
24,2025-01-14 12:43:23.764,5.33
18,2025-01-14 12:42:18.016,5.426
3,2025-01-14 12:40:14.557,2.289
9,2025-01-14 12:39:55.439,3.196
23,2025-01-14 12:39:00.865,3.953
13,2025-01-14 12:37:35.539,7.653
2,2025-01-14 12:36:44.98,4.275
28,2025-01-14 12:34:37.264,6.438
12,2025-01-14 12:34:08.282,4.149
8,2025-01-14 12:33:36.935,3.514
20,2025-01-14 12:20:02.552,6.311
24,2025-01-14 12:13:23.759,2.726
3,2025-01-14 12:10:14.498,2.966
9,2025-01-14 12:09:55.413,2.417
23,2025-01-14 12:09:00.78,5.336
13,2025-01-14 12:07:35.43,4.669
2,2025-01-14 12:06:52.063,6.597
28,2025-01-14 12:04:37.209,3.661
12,2025-01-14 12:04:08.225,4.658
21,2025-01-14 12:03:42.693,7.573
8,2025-01-14 12:03:36.941,3.566
25,2025-01-14 11:58:29.982,6.007
27,2025-01-14 11:54:12.058,3.929
20,2025-01-14 11:50:02.517,7.982
28,2025-01-14 11:49:25.525,8.069
30,2025-01-14 11:48:01.527,4.988
28,2025-01-14 11:47:58.411,8.069
7,2025-01-14 11:46:48.764,6.582
15,2025-01-14 11:46:05.161,6.088
24,2025-01-14 11:43:23.724,4.35
18,2025-01-14 11:42:17.898,10.1
27,2025-01-14 11:41:30.922,2.65
3,2025-01-14 11:40:14.055,3.26
9,2025-01-14 11:39:55.373,5.957
23,2025-01-14 11:39:00.73,2.416
12,2025-01-14 11:38:30.679,4.271
13,2025-01-14 11:37:35.319,5.29
30,2025-01-14 11:37:31.015,8.009
2,2025-01-14 11:36:52.097,5.426
1,2025-01-14 11:36:06.038,8.107
28,2025-01-14 11:34:14.545,8.069
12,2025-01-14 11:33:59.894,4.271
21,2025-01-14 11:33:42.58,3.863
15,2025-01-14 11:32:01.961,5.357
25,2025-01-14 11:28:29.949,1.956
27,2025-01-14 11:24:11.924,2.65
30,2025-01-14 11:24:07.055,5.9
30,2025-01-14 11:16:31.234,5.9
24,2025-01-14 11:13:23.71,3.911
18,2025-01-14 11:12:17.876,5.109
3,2025-01-14 11:10:14.013,6.207
9,2025-01-14 11:09:55.338,4.111
23,2025-01-14 11:09:00.688,5.484
13,2025-01-14 11:07:35.207,3.905
30,2025-01-14 11:06:01.488,4.382
28,2025-01-14 11:04:14.398,9.119
21,2025-01-14 11:03:42.506,4.499
25,2025-01-14 10:58:29.927,5.188
27,2025-01-14 10:54:11.922,8.524
20,2025-01-14 10:50:02.529,5.722
15,2025-01-14 10:46:05.174,4.823
18,2025-01-14 10:45:03.835,6.68
24,2025-01-14 10:42:58.061,3.987
18,2025-01-14 10:42:17.81,6.68
24,2025-01-14 10:41:24.646,3.987
12,2025-01-14 10:41:07.934,3.46
3,2025-01-14 10:40:13.984,4.372
9,2025-01-14 10:39:55.299,5.231
23,2025-01-14 10:39:00.608,3.305
13,2025-01-14 10:37:35.094,6.302
2,2025-01-14 10:36:45.013,6.574
1,2025-01-14 10:36:06.069,6.08
30,2025-01-14 10:34:30.764,4.181
28,2025-01-14 10:34:14.296,4.648
8,2025-01-14 10:33:36.843,6.007
25,2025-01-14 10:28:29.881,2.488
30,2025-01-14 10:28:18.137,3.29
27,2025-01-14 10:24:11.815,17.009
30,2025-01-14 10:24:00.401,3.29
21,2025-01-14 10:22:52.575,4.644
12,2025-01-14 10:22:47.084,5.026
7,2025-01-14 10:16:48.643,2.851
15,2025-01-14 10:16:05.24,1.359
18,2025-01-14 10:12:17.735,7.19
24,2025-01-14 10:11:54.909,3.987
