"device_eui","date","your_pm25","jerry_pm25","difference","match_status"
"0004A30B00085575",2024-11-07,2.92042857142857,2.97975,0.0593214285714287,"Match"
"0004A30B00085575",2024-11-08,9.79133333333333,9.94679069767441,0.155457364341077,"Match"
"0004A30B00085575",2024-11-09,2.46480392156863,2.39204444444444,0.0727594771241873,"Match"
"0004A30B00085575",2024-11-10,9.84143137254902,10.2802045454545,0.438773172905481,"Match"
"0004A30B00085575",2024-11-11,6.02497959183673,5.75141463414634,0.273564957690393,"Match"
"0004A30B00085575",2024-11-12,1.77393333333333,1.76982051282051,0.00411282051282336,"Match"
"0004A30B00085575",2024-11-13,2.18549090909091,2.15125531914893,0.0342355899419791,"Match"
"0004A30B00085575",2024-11-14,4.57958695652174,4.47921951219512,0.100367444326619,"Match"
"0004A30B00085575",2024-11-15,27.0206226415094,26.790652173913,0.229970467596434,"Match"
"0004A30B00085575",2024-11-16,4.464,4.60670454545454,0.14270454545454,"Match"
"0004A30B00085575",2024-11-17,11.1089090909091,11.0042,0.10470909090909,"Match"
"0004A30B00085575",2024-11-18,23.6451555555556,24.0283333333333,0.383177777777739,"Match"
"0004A30B00085575",2024-11-19,17.2249803921569,17.202,0.0229803921568603,"Match"
"0004A30B00085575",2024-11-20,9.28451219512195,8.97443243243243,0.310079762689522,"Match"
"0004A30B00085575",2024-11-21,4.044125,4.07574285714285,0.0316178571428498,"Match"
"0004A30B00085575",2024-11-22,8.89946296296296,8.8725,0.026962962962962,"Match"
"0004A30B00085575",2024-11-23,2.48604081632653,2.50890476190476,0.0228639455782296,"Match"
"0004A30B00085575",2024-11-24,17.0326326530612,17.4337045454545,0.401071892393276,"Match"
"0004A30B00085575",2024-11-25,15.2847647058824,15.4248444444444,0.140079738562045,"Match"
"0004A30B00085575",2024-11-26,12.6703469387755,12.1326666666666,0.53768027210891,"Match"
"0004A30B00085575",2024-11-27,7.5224,7.4573947368421,0.0650052631578992,"Match"
"0004A30B00085575",2024-11-28,12.7387058823529,12.874,0.13529411764706,"Match"
"0004A30B00085575",2024-11-29,9.45041818181818,9.45847916666666,0.00806098484848228,"Match"
"0004A30B00085575",2024-11-30,8.36081132075472,8.21143478260869,0.149376538146027,"Match"
"0004A30B00085575",2024-12-01,6.92678723404255,7.0432,0.116412765957446,"Match"
"0004A30B00085575",2024-12-02,12.4318604651163,12.3536666666666,0.0781937984496786,"Match"
"0004A30B00085575",2024-12-03,16.9713829787234,17.1321707317073,0.160787752983897,"Match"
"0004A30B00085575",2024-12-04,15.3674,15.6279736842105,0.260573684210501,"Match"
"0004A30B00085575",2024-12-05,6.97436363636364,6.98902083333333,0.0146571969696945,"Match"
"0004A30B00085575",2024-12-06,4.86146511627907,4.54144736842105,0.32001774785802,"Match"
"0004A30B00085575",2024-12-07,5.47848936170213,5.57583333333333,0.0973439716312026,"Match"
"0004A30B00085575",2024-12-08,7.33609756097561,7.17078378378378,0.165313777191829,"Match"
"0004A30B00085575",2024-12-09,6.69443396226415,6.7394,0.0449660377358487,"Match"
"0004A30B00085575",2024-12-10,36.1467826086957,36.0392564102564,0.107526198439253,"Match"
"0004A30B00085575",2024-12-11,21.29104,22.0970697674418,0.8060297674418,"Match"
"0004A30B00085575",2024-12-12,6.360125,6.43870833333333,0.078583333333329,"Match"
"0004A30B00085575",2024-12-13,5.791,5.85332558139534,0.0623255813953403,"Match"
"0004A30B00085575",2024-12-14,9.0016170212766,8.889125,0.112492021276596,"Match"
"0004A30B00085575",2024-12-15,15.1571590909091,15.1007948717948,0.0563642191142897,"Match"
"0004A30B00085575",2024-12-16,17.0708775510204,17.361409090909,0.290531539888594,"Match"
"0004A30B00085575",2024-12-17,11.5240408163265,11.7074761904761,0.183435374149568,"Match"
"0004A30B00085575",2024-12-18,43.2698235294118,44.27075,1.00092647058823,"Match"
"0004A30B00085575",2024-12-19,7.25679591836735,7.25009523809523,0.00670068027211723,"Match"
"0004A30B00085575",2024-12-20,17.63648,17.4768139534883,0.159666046511699,"Match"
"0004A30B00085575",2024-12-21,3.77703846153846,4.01587234042553,0.238833878887069,"Match"
"0004A30B00085575",2024-12-22,3.5415,3.55374418604651,0.0122441860465101,"Match"
"0004A30B00085575",2024-12-23,6.55220833333333,6.56506976744186,0.012861434108526,"Match"
"0004A30B00085575",2024-12-24,21.435914893617,21.7485476190476,0.312632725430579,"Match"
"0004A30B00085575",2024-12-25,27.919,28.5779523809523,0.6589523809523,"Match"
