device,date,location_name,latitude,longitude,pm25_24hr_avg
21,2025-01-18,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.9500769230769235
21,2025-01-19,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.356866666666667
21,2025-01-20,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.164020408163266
21,2025-01-21,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.080177777777777
21,2025-01-22,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.0727
21,2025-01-23,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.0292
21,2025-01-24,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.976586956521738
21,2025-01-25,Buckeye Rd. and East 89th St,41.486323,-81.624582,13.666814814814815
21,2025-01-26,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.542822222222222
21,2025-01-27,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.646340909090909
21,2025-01-28,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.8455625
21,2025-01-29,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.304333333333333
21,2025-01-30,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.826428571428571
21,2025-01-31,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.274611111111111
21,2025-02-01,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.171347826086957
21,2025-02-02,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.5565263157894735
21,2025-02-03,Buckeye Rd. and East 89th St,41.486323,-81.624582,13.930846153846154
21,2025-02-04,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.376315789473685
21,2025-02-05,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.609938775510204
21,2025-02-06,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.8965
21,2025-02-07,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.813176470588235
21,2025-02-08,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.32896875
21,2025-02-09,Buckeye Rd. and East 89th St,41.486323,-81.624582,10.265157894736841
21,2025-02-10,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.995777777777779
21,2025-02-11,Buckeye Rd. and East 89th St,41.486323,-81.624582,21.64017021276596
21,2025-02-12,Buckeye Rd. and East 89th St,41.486323,-81.624582,22.472324324324322
21,2025-02-13,Buckeye Rd. and East 89th St,41.486323,-81.624582,13.105409090909092
21,2025-02-14,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.130576923076923
21,2025-02-15,Buckeye Rd. and East 89th St,41.486323,-81.624582,10.156038461538461
21,2025-02-17,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.5855625
21,2025-02-18,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.8363673469387756
21,2025-02-19,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.453245283018868
21,2025-02-20,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.988607142857143
21,2025-02-21,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.0004
21,2025-02-22,Buckeye Rd. and East 89th St,41.486323,-81.624582,11.330653846153846
21,2025-02-23,Buckeye Rd. and East 89th St,41.486323,-81.624582,10.71366037735849
21,2025-02-24,Buckeye Rd. and East 89th St,41.486323,-81.624582,13.415480769230768
21,2025-02-25,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.779562499999999
21,2025-02-26,Buckeye Rd. and East 89th St,41.486323,-81.624582,17.046111111111113
21,2025-02-27,Buckeye Rd. and East 89th St,41.486323,-81.624582,22.08290909090909
21,2025-02-28,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.548931818181819
21,2025-03-01,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.6411063829787236
21,2025-03-02,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.40158
21,2025-03-03,Buckeye Rd. and East 89th St,41.486323,-81.624582,7.569179487179487
21,2025-03-04,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.8075192307692305
21,2025-03-05,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.2299444444444445
21,2025-03-06,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.1941063829787235
21,2025-03-07,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.085530612244897
21,2025-03-08,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.2664375
21,2025-03-09,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.953234042553191
21,2025-03-10,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.060765957446809
21,2025-03-11,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.945875
21,2025-03-12,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.108073170731707
21,2025-03-13,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.646170731707317
21,2025-03-14,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.126431818181818
21,2025-03-15,Buckeye Rd. and East 89th St,41.486323,-81.624582,11.496921568627451
21,2025-03-16,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.092545454545455
21,2025-03-17,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.1046585365853656
21,2025-03-18,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.150422222222222
21,2025-03-19,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.6912115384615385
21,2025-03-20,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.8906666666666667
21,2025-03-21,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.0512058823529413
21,2025-03-22,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.2589999999999995
21,2025-03-23,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.612705882352941
21,2025-03-24,Buckeye Rd. and East 89th St,41.486323,-81.624582,7.160825
21,2025-03-25,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.811106382978724
21,2025-03-26,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.7258947368421054
21,2025-03-27,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.275
21,2025-03-28,Buckeye Rd. and East 89th St,41.486323,-81.624582,10.31897619047619
21,2025-03-29,Buckeye Rd. and East 89th St,41.486323,-81.624582,11.267222222222221
21,2025-03-30,Buckeye Rd. and East 89th St,41.486323,-81.624582,12.72384375
21,2025-03-31,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.377565217391305
21,2025-04-01,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.563041666666667
21,2025-04-02,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.935705882352941
21,2025-04-03,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.089024390243902
21,2025-04-04,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.351282608695652
21,2025-04-05,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.7804761904761905
21,2025-04-06,Buckeye Rd. and East 89th St,41.486323,-81.624582,1.243
21,2025-04-07,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.389
21,2025-04-08,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.05956862745098
21,2025-04-09,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.53486274509804
21,2025-04-10,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.2913
21,2025-04-11,Buckeye Rd. and East 89th St,41.486323,-81.624582,16.44446153846154
21,2025-04-12,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.576045454545454
21,2025-04-13,Buckeye Rd. and East 89th St,41.486323,-81.624582,7.496529411764706
21,2025-04-14,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.9121875
21,2025-04-15,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.810735849056604
21,2025-04-16,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.4268888888888887
21,2025-04-17,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.81858
21,2025-04-18,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.857872340425532
21,2025-04-19,Buckeye Rd. and East 89th St,41.486323,-81.624582,11.048931818181819
21,2025-04-20,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.489545454545454
21,2025-04-21,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.86166
21,2025-04-22,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.082767441860465
21,2025-04-23,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.207520833333334
21,2025-04-24,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.020408163265306
21,2025-04-25,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.44254
21,2025-04-26,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.6902608695652175
21,2025-04-27,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.028865384615385
21,2025-04-28,Buckeye Rd. and East 89th St,41.486323,-81.624582,3.51558
21,2025-04-29,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.428780000000001
21,2025-04-30,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.5685471698113207
21,2025-05-01,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.618586956521739
21,2025-05-02,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.87556
21,2025-05-03,Buckeye Rd. and East 89th St,41.486323,-81.624582,13.395722222222222
21,2025-05-04,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.2653
21,2025-05-05,Buckeye Rd. and East 89th St,41.486323,-81.624582,12.821
21,2025-05-06,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.91985
21,2025-05-07,Buckeye Rd. and East 89th St,41.486323,-81.624582,12.271396226415094
21,2025-05-08,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.460431372549019
21,2025-05-09,Buckeye Rd. and East 89th St,41.486323,-81.624582,6.911104166666667
21,2025-05-10,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.328090909090909
21,2025-05-11,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.459040816326531
21,2025-05-12,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.022216216216217
21,2025-05-13,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.84574358974359
21,2025-05-14,Buckeye Rd. and East 89th St,41.486323,-81.624582,1.9894761904761904
21,2025-05-15,Buckeye Rd. and East 89th St,41.486323,-81.624582,8.632291666666667
21,2025-05-16,Buckeye Rd. and East 89th St,41.486323,-81.624582,7.898326086956521
21,2025-05-17,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.14434
21,2025-05-18,Buckeye Rd. and East 89th St,41.486323,-81.624582,4.146883720930233
21,2025-05-19,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.451038461538463
21,2025-05-20,Buckeye Rd. and East 89th St,41.486323,-81.624582,5.47686
21,2025-05-21,Buckeye Rd. and East 89th St,41.486323,-81.624582,10.665365384615384
21,2025-05-22,Buckeye Rd. and East 89th St,41.486323,-81.624582,9.822833333333334
21,2025-05-23,Buckeye Rd. and East 89th St,41.486323,-81.624582,2.2149166666666664
24,2024-11-08,East 152nd and Darwin,41.564906,-81.579597,6.0004
24,2024-11-09,East 152nd and Darwin,41.564906,-81.579597,2.14168
24,2024-11-10,East 152nd and Darwin,41.564906,-81.579597,11.198115384615384
24,2024-11-11,East 152nd and Darwin,41.564906,-81.579597,5.18344
24,2024-11-12,East 152nd and Darwin,41.564906,-81.579597,1.3006530612244898
24,2024-11-13,East 152nd and Darwin,41.564906,-81.579597,2.657862745098039
24,2024-11-14,East 152nd and Darwin,41.564906,-81.579597,3.0133269230769235
24,2024-11-15,East 152nd and Darwin,41.564906,-81.579597,18.389072727272726
24,2024-11-16,East 152nd and Darwin,41.564906,-81.579597,3.5890566037735847
24,2024-11-17,East 152nd and Darwin,41.564906,-81.579597,8.677510204081633
24,2024-11-18,East 152nd and Darwin,41.564906,-81.579597,19.778849056603775
24,2024-11-19,East 152nd and Darwin,41.564906,-81.579597,13.608888888888888
24,2024-11-20,East 152nd and Darwin,41.564906,-81.579597,6.3343454545454545
24,2024-11-21,East 152nd and Darwin,41.564906,-81.579597,3.786830188679245
24,2024-11-22,East 152nd and Darwin,41.564906,-81.579597,8.82876923076923
24,2024-11-23,East 152nd and Darwin,41.564906,-81.579597,2.5739107142857143
24,2024-11-24,East 152nd and Darwin,41.564906,-81.579597,14.540836363636362
24,2024-11-25,East 152nd and Darwin,41.564906,-81.579597,12.466365384615383
24,2024-11-26,East 152nd and Darwin,41.564906,-81.579597,10.695276595744682
24,2024-11-27,East 152nd and Darwin,41.564906,-81.579597,6.140745098039216
24,2024-11-28,East 152nd and Darwin,41.564906,-81.579597,8.363058823529412
24,2024-11-29,East 152nd and Darwin,41.564906,-81.579597,7.932549019607843
24,2024-11-30,East 152nd and Darwin,41.564906,-81.579597,8.010882352941177
24,2024-12-01,East 152nd and Darwin,41.564906,-81.579597,6.351418181818182
24,2024-12-02,East 152nd and Darwin,41.564906,-81.579597,11.087490566037737
24,2024-12-03,East 152nd and Darwin,41.564906,-81.579597,11.847
24,2024-12-04,East 152nd and Darwin,41.564906,-81.579597,12.230490196078431
24,2024-12-05,East 152nd and Darwin,41.564906,-81.579597,5.960527272727273
24,2024-12-06,East 152nd and Darwin,41.564906,-81.579597,2.959622641509434
24,2024-12-07,East 152nd and Darwin,41.564906,-81.579597,3.836962962962963
24,2024-12-08,East 152nd and Darwin,41.564906,-81.579597,6.091433962264151
24,2024-12-09,East 152nd and Darwin,41.564906,-81.579597,8.609107142857143
24,2024-12-10,East 152nd and Darwin,41.564906,-81.579597,39.782471698113206
