Device #,Date,Concentration measurements,Latitude,Longitude
1,2024-12-01,6.692666666666667,41.456319,-81.639257
1,2024-12-02,11.7594,41.456319,-81.639257
1,2024-12-03,17.884666666666668,41.456319,-81.639257
1,2024-12-04,14.674833333333334,41.456319,-81.639257
1,2024-12-05,3.9194999999999998,41.456319,-81.639257
1,2024-12-06,6.057,41.456319,-81.639257
1,2024-12-07,1.672,41.456319,-81.639257
1,2024-12-08,21.129666666666665,41.456319,-81.639257
1,2024-12-09,8.191636363636363,41.456319,-81.639257
1,2024-12-10,43.33122222222222,41.456319,-81.639257
2,2024-12-01,6.475627906976744,41.57947,-81.56615
2,2024-12-02,10.973837837837838,41.57947,-81.56615
2,2024-12-03,11.704545454545453,41.57947,-81.56615
2,2024-12-04,13.22035,41.57947,-81.56615
2,2024-12-05,5.468277777777778,41.57947,-81.56615
2,2024-12-06,2.4298536585365853,41.57947,-81.56615
2,2024-12-07,4.705,41.57947,-81.56615
2,2024-12-08,6.222054054054054,41.57947,-81.56615
2,2024-12-09,7.986864864864865,41.57947,-81.56615
2,2024-12-10,40.84712903225806,41.57947,-81.56615
3,2024-12-01,6.724255319148936,41.575635,-81.541699
3,2024-12-02,10.509872340425531,41.575635,-81.541699
3,2024-12-03,12.160224489795919,41.575635,-81.541699
3,2024-12-04,12.272326530612245,41.575635,-81.541699
3,2024-12-05,5.539061224489796,41.575635,-81.541699
3,2024-12-06,2.8540212765957444,41.575635,-81.541699
3,2024-12-07,4.940148936170213,41.575635,-81.541699
3,2024-12-08,6.720355555555556,41.575635,-81.541699
3,2024-12-09,6.148770833333334,41.575635,-81.541699
3,2024-12-10,26.230541666666667,41.575635,-81.541699
7,2024-12-01,5.47903125,41.476985,-81.682376
7,2024-12-02,9.993645161290322,41.476985,-81.682376
7,2024-12-03,14.764241379310345,41.476985,-81.682376
7,2024-12-04,13.654433333333333,41.476985,-81.682376
7,2024-12-05,5.900148148148149,41.476985,-81.682376
7,2024-12-06,4.231481481481481,41.476985,-81.682376
7,2024-12-07,5.102133333333334,41.476985,-81.682376
7,2024-12-08,5.833785714285714,41.476985,-81.682376
7,2024-12-09,12.563958333333334,41.476985,-81.682376
7,2024-12-10,45.58566666666667,41.476985,-81.682376
8,2024-12-01,5.370604166666666,41.446336,-81.650709
8,2024-12-02,9.781224489795918,41.446336,-81.650709
8,2024-12-03,14.476489361702127,41.446336,-81.650709
8,2024-12-04,13.336195652173913,41.446336,-81.650709
8,2024-12-05,6.276895833333334,41.446336,-81.650709
8,2024-12-06,4.707347826086957,41.446336,-81.650709
8,2024-12-07,4.469148936170213,41.446336,-81.650709
8,2024-12-08,6.197711111111111,41.446336,-81.650709
8,2024-12-09,7.298913043478261,41.446336,-81.650709
8,2024-12-10,36.45688888888889,41.446336,-81.650709
9,2024-12-01,4.030244897959183,41.49211,-81.67856
9,2024-12-02,7.074367346938776,41.49211,-81.67856
9,2024-12-03,10.95368,41.49211,-81.67856
9,2024-12-04,9.981440000000001,41.49211,-81.67856
9,2024-12-05,4.561468085106383,41.49211,-81.67856
9,2024-12-06,3.092734693877551,41.49211,-81.67856
9,2024-12-07,3.0543,41.49211,-81.67856
9,2024-12-08,4.460285714285714,41.49211,-81.67856
9,2024-12-09,6.924586956521739,41.49211,-81.67856
9,2024-12-10,29.15096875,41.49211,-81.67856
11,2024-12-01,7.38125,41.56206,-81.564009
11,2024-12-02,12.727896551724138,41.56206,-81.564009
11,2024-12-03,12.269575,41.56206,-81.564009
11,2024-12-04,13.097257142857142,41.56206,-81.564009
11,2024-12-05,7.351074074074074,41.56206,-81.564009
11,2024-12-06,3.1059393939393938,41.56206,-81.564009
11,2024-12-07,5.174027777777778,41.56206,-81.564009
11,2024-12-08,6.955028571428572,41.56206,-81.564009
11,2024-12-09,8.403076923076924,41.56206,-81.564009
11,2024-12-10,24.51642857142857,41.56206,-81.564009
12,2024-12-01,7.0615000000000006,41.49409,-81.70976
12,2024-12-02,12.891733333333333,41.49409,-81.70976
12,2024-12-03,19.0391,41.49409,-81.70976
12,2024-12-04,13.519048780487804,41.49409,-81.70976
12,2024-12-06,3.252642857142857,41.49409,-81.70976
12,2024-12-07,4.52512962962963,41.49409,-81.70976
12,2024-12-08,6.181193548387097,41.49409,-81.70976
12,2024-12-09,10.658217391304348,41.49409,-81.70976
12,2024-12-10,39.09461904761905,41.49409,-81.70976
13,2024-12-01,8.354425531914893,41.489571,-81.71175
13,2024-12-02,13.78545652173913,41.489571,-81.71175
13,2024-12-03,13.768565217391304,41.489571,-81.71175
13,2024-12-04,13.698354838709678,41.489571,-81.71175
13,2024-12-05,8.169071428571428,41.489571,-81.71175
13,2024-12-06,6.349714285714286,41.489571,-81.71175
13,2024-12-07,7.05865,41.489571,-81.71175
13,2024-12-08,7.689,41.489571,-81.71175
13,2024-12-09,11.247,41.489571,-81.71175
13,2024-12-10,34.15447368421053,41.489571,-81.71175
15,2024-12-01,5.6979655172413795,41.552492,-81.591944
15,2024-12-02,11.686838709677419,41.552492,-81.591944
15,2024-12-03,13.828299999999999,41.552492,-81.591944
15,2024-12-04,14.366035714285713,41.552492,-81.591944
15,2024-12-05,8.46740909090909,41.552492,-81.591944
15,2024-12-06,2.7162727272727274,41.552492,-81.591944
15,2024-12-07,5.398567567567567,41.552492,-81.591944
15,2024-12-08,6.64658064516129,41.552492,-81.591944
15,2024-12-09,7.6766,41.552492,-81.591944
15,2024-12-10,38.51118181818182,41.552492,-81.591944
18,2024-12-01,7.191,41.47918,-81.75257
18,2024-12-02,11.20798113207547,41.47918,-81.75257
18,2024-12-03,17.293188679245283,41.47918,-81.75257
18,2024-12-04,14.593733333333335,41.47918,-81.75257
18,2024-12-05,6.396603773584905,41.47918,-81.75257
18,2024-12-06,4.873814814814815,41.47918,-81.75257
18,2024-12-07,4.261222222222222,41.47918,-81.75257
18,2024-12-08,6.325648148148148,41.47918,-81.75257
18,2024-12-09,9.895913043478261,41.47918,-81.75257
18,2024-12-10,53.49664285714286,41.47918,-81.75257
19,2024-12-01,5.778076923076923,41.462862,-81.647249
19,2024-12-02,8.959222222222222,41.462862,-81.647249
19,2024-12-03,18.027,41.462862,-81.647249
19,2024-12-04,12.37490909090909,41.462862,-81.647249
19,2024-12-05,10.439777777777778,41.462862,-81.647249
19,2024-12-06,4.8755,41.462862,-81.647249
19,2024-12-07,4.614888888888889,41.462862,-81.647249
19,2024-12-08,6.019714285714286,41.462862,-81.647249
19,2024-12-09,7.811571428571429,41.462862,-81.647249
19,2024-12-10,49.1674,41.462862,-81.647249
20,2024-12-01,7.277297872340426,41.569957,-81.541194
20,2024-12-02,14.263745098039216,41.569957,-81.541194
20,2024-12-03,14.400574468085106,41.569957,-81.541194
20,2024-12-04,13.021861111111111,41.569957,-81.541194
20,2024-12-05,7.642244897959183,41.569957,-81.541194
20,2024-12-06,3.3365416666666667,41.569957,-81.541194
20,2024-12-07,4.4554,41.569957,-81.541194
20,2024-12-08,7.0549591836734695,41.569957,-81.541194
20,2024-12-09,6.28252,41.569957,-81.541194
20,2024-12-10,30.0796,41.569957,-81.541194
21,2024-12-01,6.926787234042553,41.486323,-81.624582
21,2024-12-02,12.431860465116278,41.486323,-81.624582
21,2024-12-03,16.971382978723405,41.486323,-81.624582
21,2024-12-04,15.3674,41.486323,-81.624582
21,2024-12-05,6.974363636363636,41.486323,-81.624582
21,2024-12-06,4.86146511627907,41.486323,-81.624582
21,2024-12-07,5.4784893617021275,41.486323,-81.624582
21,2024-12-08,7.33609756097561,41.486323,-81.624582
21,2024-12-09,6.694433962264151,41.486323,-81.624582
21,2024-12-10,36.14678260869565,41.486323,-81.624582
23,2024-12-01,6.046854545454545,41.449672,-81.564
