"device_number","time","value"
24,2025-01-12 01:11:54.242,13.383
24,2025-01-12 00:41:54.238,17.407
24,2025-01-12 00:37:43.038,22.796
24,2025-01-12 00:11:54.209,22.796
24,2025-01-11 23:41:54.181,17.683
24,2025-01-11 23:11:54.193,23.211
24,2025-01-11 22:41:54.281,21.907
24,2025-01-11 22:11:54.107,28.783
24,2025-01-11 21:41:54.086,34.667
24,2025-01-11 21:11:54.064,27.59
24,2025-01-11 21:10:30.545,46.167
24,2025-01-11 20:41:54.087,46.167
24,2025-01-11 20:11:54.059,36.795
24,2025-01-11 19:41:54.032,31.44
24,2025-01-11 19:11:54.016,38.605
24,2025-01-11 18:41:54.013,50.843
24,2025-01-11 18:11:54.028,42.428
24,2025-01-11 17:41:54.031,40.283
24,2025-01-11 17:41:03.136,55.904
24,2025-01-11 17:11:53.985,55.904
24,2025-01-11 16:41:53.954,49.076
24,2025-01-11 16:11:53.921,62.839
24,2025-01-11 15:41:53.89,57.364
24,2025-01-11 15:11:53.914,41.76
24,2025-01-11 14:41:53.845,40.977
24,2025-01-11 14:30:07.619,41.035
24,2025-01-11 14:11:53.824,41.035
24,2025-01-11 13:41:53.83,49.642
24,2025-01-11 13:11:53.755,34.388
24,2025-01-11 12:41:53.752,38.148
24,2025-01-11 12:11:53.74,29.568
24,2025-01-11 11:41:53.687,33.289
24,2025-01-11 11:14:18.133,26.835
24,2025-01-11 11:11:53.655,26.835
24,2025-01-11 10:41:53.662,26.496
24,2025-01-11 10:11:53.617,25.061
24,2025-01-11 09:41:53.594,23.938
24,2025-01-11 09:11:53.586,22.582
24,2025-01-11 08:41:53.569,24.547
24,2025-01-11 08:11:53.552,19.834
24,2025-01-11 07:54:31.66,27.832
24,2025-01-11 07:41:53.525,27.832
24,2025-01-11 07:11:53.544,16.934
24,2025-01-11 06:41:53.479,14.745
24,2025-01-11 06:11:53.45,16.615
24,2025-01-11 05:41:53.424,21.417
24,2025-01-11 05:11:53.426,22.394
24,2025-01-11 04:52:26.171,17.406
24,2025-01-11 04:41:53.37,17.406
24,2025-01-11 04:11:53.379,21.561
24,2025-01-11 03:41:53.352,18.44
24,2025-01-11 03:11:53.327,21.356
24,2025-01-11 02:41:53.298,16.767
24,2025-01-11 02:11:53.309,15.748
24,2025-01-11 01:41:53.317,15.754
24,2025-01-11 01:33:53.733,16.121
24,2025-01-11 01:11:53.353,16.121
24,2025-01-11 00:41:53.362,13.814
24,2025-01-10 23:11:53.403,18.275
24,2025-01-10 22:41:53.378,10.854
24,2025-01-10 22:14:33.511,14.567
24,2025-01-10 22:11:53.411,14.567
24,2025-01-10 21:41:53.448,11.77
24,2025-01-10 21:11:53.415,13.592
24,2025-01-10 20:41:53.475,14.053
24,2025-01-10 20:11:53.488,13.904
24,2025-01-10 19:41:53.462,11.908
24,2025-01-10 19:11:53.479,12.597
24,2025-01-10 19:10:45.062,14.042
24,2025-01-10 18:41:38.527,14.042
24,2025-01-10 18:11:38.548,14.193
24,2025-01-10 17:41:38.521,10.234
24,2025-01-10 17:11:38.56,13.351
24,2025-01-10 16:41:38.535,15.703
24,2025-01-10 16:11:38.547,14.522
24,2025-01-10 15:44:41.825,12.676
24,2025-01-10 15:41:38.564,12.676
24,2025-01-10 15:11:38.578,14.593
24,2025-01-10 14:41:38.577,17.802
24,2025-01-10 14:11:38.776,17.335
24,2025-01-10 13:41:38.661,24.18
24,2025-01-10 13:11:38.625,12.949
24,2025-01-10 12:41:38.65,10.425
24,2025-01-10 12:20:38.464,9.008
24,2025-01-10 12:11:38.628,9.008
