"location_name","latitude","longitude","device_number","device_eui","time","measure_name","value","Date"
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 22:19:43.805,"mc_pm2_5",37.616,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 22:17:08.795,"mc_pm2_5",29.235,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 22:16:27.76,"mc_pm2_5",31.117,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 22:08:35.532,"mc_pm2_5",58.085,2024-12-10
"Collinwood Recreation Center",41.57947,-81.56615,2,"0004A30B00084BC5",2024-12-10 22:07:48.217,"mc_pm2_5",74.913,2024-12-10
"St. Theodosius Monitoring Site Collocated Sensor",41.476985,-81.682376,7,"0004A30B00084474",2024-12-10 22:03:01.809,"mc_pm2_5",25.841,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 22:02:36.196,"mc_pm2_5",26.193,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 21:57:05.681,"mc_pm2_5",46.172,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 21:54:48.249,"mc_pm2_5",55.146,2024-12-10
"Buckeye Rd. and East 89th St",41.486323,-81.624582,21,"0004A30B00085575",2024-12-10 21:54:07.435,"mc_pm2_5",50.1,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 21:53:24.195,"mc_pm2_5",46.955,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 21:49:43.816,"mc_pm2_5",44.152,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 21:46:27.796,"mc_pm2_5",27.633,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 21:44:53.904,"mc_pm2_5",38.583,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 21:38:35.556,"mc_pm2_5",56.083,2024-12-10
"Bessemer by Tremco",41.46717,-81.63003,25,"0004A30B00085131",2024-12-10 21:38:19.581,"mc_pm2_5",25.519,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 21:35:26.366,"mc_pm2_5",38.583,2024-12-10
"St. Theodosius Monitoring Site Collocated Sensor",41.476985,-81.682376,7,"0004A30B00084474",2024-12-10 21:33:01.819,"mc_pm2_5",31.197,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 21:32:36.198,"mc_pm2_5",31.529,2024-12-10
"GT Craig EPA Collocated Sensor",41.49211,-81.67856,9,"0004A30B000864E5",2024-12-10 21:29:24.947,"mc_pm2_5",29.034,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 21:27:05.669,"mc_pm2_5",44.003,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 21:24:48.048,"mc_pm2_5",58.064,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 21:19:43.876,"mc_pm2_5",44.015,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 21:16:27.797,"mc_pm2_5",32.123,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 21:12:04.536,"mc_pm2_5",40.887,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 21:08:35.613,"mc_pm2_5",44.971,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 21:02:36.196,"mc_pm2_5",31.058,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 21:01:10.783,"mc_pm2_5",62.89,2024-12-10
"Coit Road and East 131st Street",41.552492,-81.591944,15,"0004A30B00085FFB",2024-12-10 21:00:14.833,"mc_pm2_5",57.205,2024-12-10
"GT Craig EPA Collocated Sensor",41.49211,-81.67856,9,"0004A30B000864E5",2024-12-10 20:59:24.984,"mc_pm2_5",29.248,2024-12-10
"Metro Health Hospital",41.46308,-81.69823,28,"0004A30B00086AC2",2024-12-10 20:57:05.598,"mc_pm2_5",33.383,2024-12-10
"East 152nd and Darwin",41.564906,-81.579597,24,"0004A30B000824D7",2024-12-10 20:54:47.632,"mc_pm2_5",39.117,2024-12-10
"Buckeye Rd. and East 89th St",41.486323,-81.624582,21,"0004A30B00085575",2024-12-10 20:54:07.438,"mc_pm2_5",43.971,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 20:52:35.894,"mc_pm2_5",62.89,2024-12-10
"Lakeview Terrace Community Center",41.49409,-81.70976,12,"0004A30B00085A7A",2024-12-10 20:49:43.902,"mc_pm2_5",39.087,2024-12-10
"Nottingham Road near Railroad Tracks",41.569957,-81.541194,20,"0004A30B00082428",2024-12-10 20:46:27.82,"mc_pm2_5",26.13,2024-12-10
"Bessemer by Tremco",41.46717,-81.63003,25,"0004A30B00085131",2024-12-10 20:45:30.45,"mc_pm2_5",38.919,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 20:42:20.277,"mc_pm2_5",54.533,2024-12-10
"Lee/Harvard",41.449672,-81.564,23,"0004A30B000818DE",2024-12-10 20:41:52.443,"mc_pm2_5",24.947,2024-12-10
"Buckeye Rd. and East 89th St",41.486323,-81.624582,21,"0004A30B00085575",2024-12-10 20:41:21.181,"mc_pm2_5",57.712,2024-12-10
"Cudell Recreation Center",41.47918,-81.75257,18,"0004A30B00088CBC",2024-12-10 20:38:35.646,"mc_pm2_5",62.734,2024-12-10
"Bessemer by Tremco",41.46717,-81.63003,25,"0004A30B00085131",2024-12-10 20:38:19.522,"mc_pm2_5",38.919,2024-12-10
"Michael Zone Recreation Center",41.47473,-81.72846,30,"0004A30B0008173D",2024-12-10 20:33:18.735,"mc_pm2_5",59.098,2024-12-10
"St. Theodosius Monitoring Site Collocated Sensor",41.476985,-81.682376,7,"0004A30B00084474",2024-12-10 20:33:01.831,"mc_pm2_5",34.508,2024-12-10
"Nottingham Water",41.575635,-81.541699,3,"0004A30B00081BFE",2024-12-10 20:32:36.216,"mc_pm2_5",20.537,2024-12-10
