STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-09,8.50,,0.00,0.0,0.0,49,58,39,350,10,16.1,27.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-10,8.95,,0.00,0.0,0.0,56,75,39,360,360,19.9,23.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-11,8.28,,0.00,0.0,0.0,56,63,47,40,30,21.0,25.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-12,6.93,,0.04,0.0,0.0,62,82,47,170,170,19.9,25.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-13,10.74,,0.20,0.0,0.0,67,73,64,130,140,18.1,25.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-14,8.95,,0.03,0.0,0.0,69,79,62,30,130,17.0,23.9,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-15,7.61,,0.30,0.0,0.0,69,84,61,200,210,15.0,19.9,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-16,9.84,,0.20,0.0,0.0,75,83,62,180,200,28.0,47.0,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-17,16.11,,0.01,0.0,0.0,67,70,59,240,260,32.0,42.9,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-18,11.18,,0.00,0.0,0.0,60,66,52,300,280,19.9,25.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-19,9.62,,0.00,0.0,0.0,54,59,47,10,360,16.1,23.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-20,9.17,,0.10,0.0,0.0,52,64,46,40,60,21.9,27.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-21,8.05,,1.56,0.0,0.0,58,66,53,240,240,19.9,25.1,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-22,12.53,,0.75,0.0,0.0,53,53,49,320,310,18.1,27.1,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-23,12.08,,0.08,0.0,0.0,51,58,45,290,300,25.1,36.0,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-24,9.17,,0.00,0.0,0.0,54,60,46,320,320,16.1,23.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-25,5.82,,0.00,0.0,0.0,53,64,41,350,340,18.1,23.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-26,6.26,,0.00,0.0,0.0,54,65,40,40,50,16.1,21.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-27,10.96,,0.00,0.0,0.0,62,69,53,120,110,23.9,33.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-28,6.04,,0.05,0.0,0.0,57,63,53,120,90,15.0,19.9,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-29,8.05,,0.00,0.0,0.0,61,71,52,240,260,19.9,25.1,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-30,6.49,,0.08,0.0,0.0,60,65,52,300,270,13.0,19.0,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-05-31,12.30,,0.00,0.0,0.0,55,59,45,320,320,29.1,36.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-01,5.82,,0.00,0.0,0.0,53,63,40,320,320,15.0,19.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-02,6.04,,0.00,0.0,0.0,59,76,44,270,230,14.1,18.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-03,10.96,,0.00,0.0,0.0,69,83,54,200,180,19.9,27.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-04,12.30,,0.00,0.0,0.0,78,88,69,240,210,23.0,38.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-05,4.70,,0.15,0.0,0.0,70,75,62,340,200,12.1,16.1,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-06,6.26,,0.00,0.0,0.0,66,73,61,10,350,15.0,18.1,1,,,,,,1,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-07,6.04,,0.00,0.0,0.0,65,73,58,360,360,13.0,19.0,1,,,,,,1,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-08,6.04,,0.09,0.0,0.0,65,73,60,110,110,15.0,19.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-09,9.17,,0.47,0.0,0.0,66,73,62,250,240,19.9,25.1,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-10,9.84,,0.00,0.0,0.0,66,75,55,240,240,21.0,28.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-11,10.74,,0.00,0.0,0.0,71,83,60,210,240,21.9,32.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-12,6.93,,0.00,0.0,0.0,71,79,63,20,30,15.0,19.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-13,7.16,,0.10,0.0,0.0,68,72,61,30,30,12.1,14.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-14,8.05,,1.60,0.0,0.0,63,70,60,70,50,16.1,19.0,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-15,9.17,,0.00,0.0,0.0,66,73,58,40,30,21.0,25.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-16,4.92,,0.00,0.0,0.0,69,78,59,20,360,12.1,14.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-17,6.71,,0.47,0.0,0.0,72,79,67,200,200,14.1,18.1,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-18,8.50,,0.35,0.0,0.0,76,85,66,260,250,32.0,44.1,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-19,12.53,,1.14,0.0,0.0,69,76,62,330,330,23.9,32.0,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-20,8.50,,0.19,0.0,0.0,69,82,60,350,340,25.1,38.9,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-21,11.41,,0.00,0.0,0.0,75,88,66,190,170,21.9,34.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-22,10.29,,0.00,0.0,0.0,83,93,75,240,210,17.0,25.9,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-23,8.50,,0.00,0.0,0.0,85,94,75,240,220,15.0,18.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-24,6.04,,0.03,0.0,0.0,85,94,74,10,360,14.1,18.1,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-25,5.37,,0.00,0.0,0.0,81,87,72,350,350,13.0,16.1,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-26,6.04,,0.01,0.0,0.0,79,91,71,320,310,15.0,18.1,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-27,9.62,,0.00,0.0,0.0,79,89,72,210,200,18.1,23.9,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-28,9.62,,0.29,0.0,0.0,80,86,71,310,340,16.1,21.0,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-29,6.04,,0.00,0.0,0.0,76,85,66,20,10,13.0,17.0,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,2025-06-30,8.05,,0.23,0.0,0.0,78,83,72,220,260,18.1,27.1,1,,1,,,,,
